CPF,nome,data_nascimento,telefone,endereco,plano
325.894.716-37,Gael da Costa,1931-09-07,+55 54 91950-1181,"Lago Luiz Gustavo Nunes, 34
Conjunto Jatoba
69580-300 Oliveira Verde / PB",Bradesco Saude
041.985.732-04,Eduardo Sales,1927-04-07,+55 83 91948-3693,"Jardim de Gonçalves, 90
Santo André
51299135 da Luz / AC",Bradesco Saude
051.387.692-86,Manuela Mendes,1982-01-24,+55 42 91973-5813,"Chácara Freitas, 4
Coqueiros
18613-593 Costa da Praia / GO",Sul America
574.201.863-08,Bruno Alves,1956-07-14,+55 31 91923-9299,"Fazenda Pastor, 8
Vista Alegre
70278-795 Pinto Verde / PE",Bradesco Saude
249.703.651-99,Diogo Lima,1962-04-14,+55 43 91951-2842,"Vila de Gonçalves
Conjunto Paulo Vi
72012704 da Rosa / SP",Bradesco Saude
503.917.246-06,Francisco da Costa,1961-03-12,+55 97 91949-3665,"Praia de Marques, 97
Grajaú
96086-123 Rocha do Galho / MS",Sul America
497.528.603-38,Maria Luiza Ferreira,1938-03-31,+55 83 91975-4719,"Setor de Lima, 6
Barro Preto
85351-057 Cassiano dos Dourados / ES",Hapvida
740.892.631-31,Maysa Azevedo,2017-01-21,+55 82 91924-5155,"Colônia Montenegro, 529
Vila Trinta E Um De Março
99003-603 Fogaça / SP",Unimed
605.378.142-80,Murilo da Mata,1935-01-13,+55 89 91909-2252,"Trecho de Gonçalves, 40
Varzea Da Palma
86717599 Cunha do Galho / RR",Hapvida
847.035.912-60,Gabriel Cunha,1995-01-02,+55 89 91981-4924,"Loteamento Otto Pimenta, 81
Inconfidência
46036089 das Neves de Melo / ES",Bradesco Saude
508.297.643-56,Lorenzo da Rosa,2007-03-02,+55 31 91986-4228,"Recanto Luiz Miguel Ribeiro, 77
Vila Cemig
80332376 Barbosa de das Neves / DF",Hapvida
250.681.739-59,Laura Abreu,1925-10-30,+55 86 91963-3082,"Colônia João Pedro Lima, 55
Nova Granada
02699-311 da Luz de Machado / RO",Hapvida
741.302.658-90,Felipe Casa Grande,1930-12-22,+55 55 91928-6325,"Vila de Guerra, 338
Conjunto Califórnia I
74930137 Cunha do Campo / AL",Hapvida
357.812.064-26,José Pedro Costa,1949-08-14,+55 71 91950-9387,"Campo Melo, 38
Serra Verde
82563329 Gomes do Campo / CE",Unimed
054.127.639-52,Bryan Fonseca,1944-03-30,+55 48 91902-7761,"Alameda de Farias, 44
São Sebastião
35791411 Moraes / RS",Unimed
129.457.038-23,Enzo Gabriel Viana,2014-09-03,+55 44 91987-3482,"Lagoa João Vitor Caldeira, 850
Varzea Da Palma
04787415 Carvalho / BA",Sul America
745.219.086-67,Laura Nogueira,2008-07-26,+55 49 91951-4756,"Vereda de Pimenta, 5
Conjunto Bonsucesso
50441-894 Sales de Goiás / CE",Sul America
219.748.036-78,Luiz Fernando Souza,1957-10-22,+55 85 91995-3003,"Pátio Caldeira, 545
Conjunto Paulo Vi
87250735 Albuquerque / TO",Unimed
069.532.781-02,Vinicius Fernandes,2009-05-09,+55 28 91974-8682,"Ladeira Oliveira, 345
Primeiro De Maio
74203893 Pacheco / RJ",Bradesco Saude
168.759.304-39,Emanuel Melo,1995-11-17,+55 69 91901-1146,"Morro Marques, 80
Novo Ouro Preto
05278944 Barros Verde / MS",Sul America
913.264.705-07,Igor Pires,1969-02-15,+55 44 91930-7435,"Chácara de da Cruz, 254
Cachoeirinha
53856-595 Oliveira / PA",Hapvida
160.973.285-59,Srta. Luísa Mendonça,1970-01-26,+55 73 91957-0654,"Viaduto Rodrigues, 6
Nova Cintra
70111718 Jesus Alegre / RS",Hapvida
546.381.279-91,Sr. Juan Ramos,1964-05-12,+55 19 94902-3183,"Estação Isabela Pacheco, 22
Solimoes
42295907 Novais / RS",Sul America
185.907.264-01,Francisco das Neves,1957-09-26,+55 87 91920-0570,"Jardim de Pinto, 66
Santa Margarida
58825-658 da Mata / RJ",Unimed
516.307.248-07,Natália Albuquerque,2002-01-30,+55 77 91959-7315,"Loteamento de da Rocha, 7
Santa Efigênia
41214641 da Cunha / RO",Unimed
685.107.329-30,Sra. Kamilly Azevedo,1957-01-10,+55 31 91968-6035,"Lago da Cruz, 9
Vila Paquetá
29419318 Nascimento de Aragão / RR",Sul America
174.693.582-00,Júlia Cardoso,2018-05-07,+55 92 91996-9701,"Vale de Andrade, 85
Cidade Nova
41596094 Moraes / MT",Bradesco Saude
710.524.986-20,Brenda Freitas,2000-12-26,+55 24 91900-4578,"Condomínio Duarte, 29
Vila Mangueiras
89178737 Santos do Campo / SC",Sul America
217.053.648-53,Antônio Leão,1944-05-10,+55 16 91968-5645,"Residencial Lorenzo Lima, 71
Serrano
27228744 da Rosa / RS",Bradesco Saude
