id_medico,id_hospital,id_paciente,data_consulta,hora,consulta_status
6566643,56.807.243/0001-90,357.812.064-26,2024-10-11,09:00:00,agendada
5757738,40.678.125/0001-90,546.381.279-91,2024-10-16,15:00:00,agendada
8001092,60.951.748/0001-00,129.457.038-23,2024-06-16,09:00:00,realizada
8509065,60.951.748/0001-00,710.524.986-20,2024-11-01,10:00:00,agendada
8001092,58.143.920/0001-49,741.302.658-90,2024-07-07,16:00:00,realizada
9091725,53.072.816/0001-97,574.201.863-08,2024-09-02,16:00:00,agendada
5122239,58.143.920/0001-49,948.651.270-11,2024-07-01,15:00:00,realizada
5757738,56.807.243/0001-90,185.907.264-01,2024-06-08,17:00:00,realizada
8001092,84.105.937/0001-11,174.693.582-00,2024-03-17,08:00:00,cancelada
1396254,58.143.920/0001-49,546.381.279-91,2024-07-07,09:00:00,realizada
5880981,58.143.920/0001-49,185.907.264-01,2024-10-31,11:00:00,agendada
1651218,60.951.748/0001-00,168.759.304-39,2024-12-24,14:00:00,cancelada
3960525,84.105.937/0001-11,094.835.261-24,2024-11-23,14:00:00,agendada
1396254,40.678.125/0001-90,129.457.038-23,2024-10-06,15:00:00,cancelada
2112182,58.143.920/0001-49,745.219.086-67,2024-10-12,10:00:00,agendada
7493815,42.716.935/0001-19,217.053.648-53,2024-08-29,09:00:00,cancelada
2112182,17.936.582/0001-15,640.187.592-58,2024-08-18,11:00:00,agendada
0052500,60.951.748/0001-00,497.528.603-38,2024-08-04,10:00:00,agendada
1396254,17.936.582/0001-15,217.053.648-53,2024-02-29,08:00:00,realizada
1650946,84.105.937/0001-11,490.673.158-93,2024-03-26,16:00:00,cancelada
1426741,17.936.582/0001-15,546.381.279-91,2024-07-19,17:00:00,realizada
6998779,84.105.937/0001-11,157.682.304-08,2024-04-28,16:00:00,realizada
3960525,42.716.935/0001-19,497.528.603-38,2024-01-02,14:00:00,cancelada
5880981,58.143.920/0001-49,847.035.912-60,2024-03-19,16:00:00,realizada
1650946,42.716.935/0001-19,497.528.603-38,2024-02-01,16:00:00,realizada
5757738,56.807.243/0001-90,948.651.270-11,2024-08-25,14:00:00,agendada
8509065,56.807.243/0001-90,490.673.158-93,2024-07-27,11:00:00,cancelada
3023169,84.105.937/0001-11,948.651.270-11,2024-07-26,10:00:00,realizada
8509065,40.678.125/0001-90,295.163.408-06,2024-09-20,11:00:00,agendada
2656655,84.105.937/0001-11,051.387.692-86,2024-02-27,16:00:00,realizada
5757738,40.392.758/0001-37,094.835.261-24,2024-07-20,09:00:00,realizada
8509065,40.678.125/0001-90,129.457.038-23,2024-02-19,08:00:00,realizada
1651218,17.936.582/0001-15,851.927.643-19,2024-09-08,11:00:00,agendada
9006204,58.143.920/0001-49,219.748.036-78,2024-03-25,17:00:00,cancelada
5880981,17.936.582/0001-15,160.973.285-59,2024-07-06,09:00:00,cancelada
3960525,56.807.243/0001-90,497.528.603-38,2024-09-02,10:00:00,agendada
8001092,49.170.538/0001-33,710.524.986-20,2024-10-30,11:00:00,agendada
0052500,60.951.748/0001-00,847.035.912-60,2024-09-21,15:00:00,agendada
1426741,53.072.816/0001-97,179.385.024-05,2024-05-15,17:00:00,realizada
0052500,49.170.538/0001-33,041.985.732-04,2024-06-03,16:00:00,realizada
9006204,58.143.920/0001-49,593.024.816-89,2024-11-13,16:00:00,agendada
1651218,40.392.758/0001-37,069.532.781-02,2024-02-26,16:00:00,realizada
6998779,42.716.935/0001-19,250.681.739-59,2024-12-04,17:00:00,agendada
1651218,56.807.243/0001-90,710.524.986-20,2024-12-15,08:00:00,agendada
1426741,49.170.538/0001-33,325.894.716-37,2024-11-20,17:00:00,cancelada
6566643,40.678.125/0001-90,157.682.304-08,2024-05-07,16:00:00,cancelada
1426741,56.807.243/0001-90,502.643.718-44,2024-02-25,09:00:00,realizada
6566643,53.072.816/0001-97,913.264.705-07,2024-03-25,16:00:00,realizada
7493815,49.170.538/0001-33,249.703.651-99,2024-12-27,16:00:00,cancelada
6998779,42.716.935/0001-19,357.812.064-26,2024-08-02,15:00:00,cancelada
8509065,60.951.748/0001-00,685.107.329-30,2024-06-19,15:00:00,realizada
2656655,40.392.758/0001-37,967.043.521-80,2024-10-13,10:00:00,agendada
1396254,40.392.758/0001-37,546.381.279-91,2024-10-14,08:00:00,agendada
1396254,56.807.243/0001-90,605.378.142-80,2024-06-18,14:00:00,realizada
9006204,58.143.920/0001-49,685.107.329-30,2024-06-22,14:00:00,realizada
8509065,56.807.243/0001-90,985.473.061-10,2024-01-22,16:00:00,realizada
2656655,40.392.758/0001-37,250.681.739-59,2024-08-17,15:00:00,agendada
3960525,17.936.582/0001-15,168.759.304-39,2024-10-15,09:00:00,agendada
0052500,40.678.125/0001-90,041.985.732-04,2024-09-10,17:00:00,agendada
1650946,58.143.920/0001-49,467.328.915-37,2024-08-18,11:00:00,agendada
3031543,40.678.125/0001-90,185.907.264-01,2024-10-16,11:00:00,agendada
2112182,84.105.937/0001-11,357.812.064-26,2024-11-03,17:00:00,agendada
1396254,84.105.937/0001-11,325.894.716-37,2024-03-24,08:00:00,realizada
7493815,17.936.582/0001-15,508.297.643-56,2024-10-05,11:00:00,cancelada
9091725,60.951.748/0001-00,179.385.024-05,2024-01-19,16:00:00,realizada
3960525,40.678.125/0001-90,069.532.781-02,2024-04-28,10:00:00,realizada
0052500,49.170.538/0001-33,640.187.592-58,2024-03-02,17:00:00,realizada
2112182,17.936.582/0001-15,041.985.732-04,2024-06-13,14:00:00,realizada
1426741,42.716.935/0001-19,930.217.684-31,2024-10-16,16:00:00,agendada
7493815,40.392.758/0001-37,275.641.083-71,2024-12-25,15:00:00,agendada
3031543,49.170.538/0001-33,710.524.986-20,2024-06-06,08:00:00,cancelada
2112182,58.143.920/0001-49,295.163.408-06,2024-01-12,14:00:00,realizada
5122239,42.716.935/0001-19,129.457.038-23,2024-08-01,10:00:00,agendada
9006204,56.807.243/0001-90,129.457.038-23,2024-11-28,08:00:00,agendada
0052500,84.105.937/0001-11,168.759.304-39,2024-11-04,17:00:00,agendada
5122239,53.072.816/0001-97,069.532.781-02,2024-04-26,10:00:00,realizada
8509065,58.143.920/0001-49,502.643.718-44,2024-12-29,10:00:00,agendada
1396254,60.951.748/0001-00,219.748.036-78,2024-12-26,11:00:00,agendada
9091725,40.678.125/0001-90,741.302.658-90,2024-04-03,11:00:00,realizada
6998779,17.936.582/0001-15,851.927.643-19,2024-11-11,16:00:00,agendada
8001092,42.716.935/0001-19,574.201.863-08,2024-08-31,17:00:00,agendada
1396254,42.716.935/0001-19,051.387.692-86,2024-07-31,08:00:00,agendada
8509065,40.392.758/0001-37,502.643.718-44,2024-10-28,08:00:00,agendada
9091725,56.807.243/0001-90,497.528.603-38,2024-01-31,17:00:00,realizada
6998779,40.392.758/0001-37,847.035.912-60,2024-09-14,09:00:00,cancelada
3023169,84.105.937/0001-11,847.035.912-60,2024-12-12,16:00:00,agendada
9091725,60.951.748/0001-00,094.835.261-24,2024-04-12,15:00:00,realizada
8509065,60.951.748/0001-00,710.524.986-20,2024-12-12,10:00:00,cancelada
5757738,58.143.920/0001-49,129.457.038-23,2024-09-05,08:00:00,agendada
1426741,49.170.538/0001-33,179.385.024-05,2024-10-14,10:00:00,cancelada
5880981,58.143.920/0001-49,847.035.912-60,2024-03-08,17:00:00,realizada
9006204,56.807.243/0001-90,249.703.651-99,2024-04-21,15:00:00,realizada
5757738,40.678.125/0001-90,357.812.064-26,2024-01-28,11:00:00,realizada
9006204,49.170.538/0001-33,250.681.739-59,2024-06-11,16:00:00,realizada
7493815,53.072.816/0001-97,741.302.658-90,2024-02-08,15:00:00,realizada
1651218,42.716.935/0001-19,913.264.705-07,2024-05-13,08:00:00,realizada
5122239,84.105.937/0001-11,710.524.986-20,2024-11-23,16:00:00,cancelada
5880981,42.716.935/0001-19,593.024.816-89,2024-07-06,17:00:00,realizada
9006204,49.170.538/0001-33,820.961.473-87,2024-11-19,08:00:00,cancelada
0052500,60.951.748/0001-00,745.219.086-67,2024-07-12,11:00:00,realizada
